epoch,accuracy,loss,val_accuracy,val_loss
0,0.7770000100135803,0.5876608490943909,0.8762500286102295,0.2819926142692566
1,0.8579999804496765,0.33452561497688293,0.8799999952316284,0.3138889968395233
2,0.8889999985694885,0.2895541191101074,0.8762500286102295,0.32916340231895447
3,0.9049999713897705,0.25774523615837097,0.8862500190734863,0.30258938670158386
4,0.9110000133514404,0.22234278917312622,0.8650000095367432,0.3710002601146698
5,0.9294999837875366,0.1894799917936325,0.9075000286102295,0.29037562012672424
6,0.9340000152587891,0.1860266476869583,0.9012500047683716,0.3339862823486328
7,0.9445000290870667,0.1616012006998062,0.9087499976158142,0.33208537101745605
8,0.949999988079071,0.13697969913482666,0.9024999737739563,0.31673017144203186
9,0.9570000171661377,0.12118440866470337,0.8837500214576721,0.4643299877643585
